"ID","NAMES","agriculteurs_AsTheCrowFlies_POT_5000"
"75101","Paris 1er Arrondissement",866.0227872
"75102","Paris 2e  Arrondissement",820.25553822
"75103","Paris 3e  Arrondissement",724.30694485
"75104","Paris 4e  Arrondissement",718.33817148
"75105","Paris 5e  Arrondissement",703.96580151
"75106","Paris 6e  Arrondissement",819.94482289
"75107","Paris 7e  Arrondissement",936.10572973
"75108","Paris 8e  Arrondissement",955.28057936
"75109","Paris 9e  Arrondissement",832.00163899
"75110","Paris 10e  Arrondissement",687.89806051
"75111","Paris 11e  Arrondissement",597.23852411
"75112","Paris 12e  Arrondissement",307.60840517
"75113","Paris 13e  Arrondissement",507.86779251
"75114","Paris 14e  Arrondissement",626.03687818
"75115","Paris 15e  Arrondissement",797.74793475
"75116","Paris 16e  Arrondissement",828.32804774
"75117","Paris 17e  Arrondissement",865.09699018
"75118","Paris 18e  Arrondissement",651.0573634
"75119","Paris 19e  Arrondissement",486.32250258
"75120","Paris 20e  Arrondissement",462.33402688
"77001","Acheres-la-Foret",39.66705536
"77002","Amillis",35.08649322
"77003","Amponville",53.50961615
"77004","Andrezel",26.9542873
"77005","Annet-sur-Marne",27.9380494
"77006","Arbonne-la-Foret",27.57563396
"77007","Argentieres",37.61973736
"77008","Armentieres-en-Brie",38.73187855
"77009","Arville",59.71886951
"77010","Aubepierre-Ozouer-le-Repos",30.01147683
"77011","Aufferville",74.60519903
"77012","Augers-en-Brie",43.65352301
"77013","Aulnoy",46.64392194
"77014","Avon",9.54177292
"77015","Baby",18.12214095
"77016","Bagneaux-sur-Loing",35.80187758
"77018","Bailly-Romainvilliers",28.78528647
"77019","Balloy",34.34196379
"77020","Bannost-Villegagnon",65.6718823
"77021","Barbey",20.29619908
"77022","Barbizon",55.17601002
"77023","Barcy",24.15353591
"77024","Bassevelle",36.26082211
"77025","Bazoches-les-Bray",35.79854502
"77026","Beauchery-Saint-Martin",33.81158084
"77027","Beaumont-du-Gatinais",21.3826554
"77028","Beautheil",46.57548254
"77029","Beauvoir",32.29318128
"77030","Bellot",53.42130304
"77031","Bernay-Vilbert",64.83517934
"77032","Beton-Bazoches",79.67264459
"77033","Bezalles",78.92471267
"77034","Blandy",14.11077989
"77035","Blennes",18.79723833
"77036","Boisdon",79.39142554
"77037","Bois-le-Roi",24.492239
"77038","Boissettes",36.57867555
"77039","Boissise-la-Bertrand",33.11922961
"77040","Boissise-le-Roi",38.45062186
"77041","Boissy-aux-Cailles",56.53764232
"77042","Boissy-le-Chatel",33.68805427
"77043","Boitron",40.63393793
"77044","Bombon",15.21119183
"77045","Bougligny",50.95574214
"77046","Boulancourt",21.58922344
"77047","Bouleurs",60.9412144
"77048","Bourron-Marlotte",15.52107397
"77049","Boutigny",52.10352164
"77050","Bransles",20.14907472
"77051","Bray-sur-Seine",30.80064303
"77052","Breau",12.79832595
"77053","Brie-Comte-Robert",59.68541078
"77054","La Brosse-Montceaux",27.14257324
"77055","Brou-sur-Chantereine",29.26291968
"77056","Burcy",52.24349812
"77057","Bussieres",40.52526505
"77058","Bussy-Saint-Georges",39.99425576
"77059","Bussy-Saint-Martin",34.65818475
"77060","Buthiers",36.03073048
"77061","Cannes-Ecluse",34.58750303
"77062","Carnetin",27.95050288
"77063","La Celle-sur-Morin",42.46367936
"77065","Cely",40.21798678
"77066","Cerneux",47.34210447
"77067","Cesson",30.74973461
"77068","Cessoy-en-Montois",66.14746688
"77069","Chailly-en-Biere",54.75244337
"77070","Chailly-en-Brie",31.43518392
"77071","Chaintreaux",38.26629318
"77072","Chalautre-la-Grande",33.705144
"77073","Chalautre-la-Petite",64.85898952
"77075","Chalifert",33.16556687
"77076","Chalmaison",50.10116687
"77077","Chambry",30.63209504
"77078","Chamigny",42.71643394
"77079","Champagne-sur-Seine",14.59828143
"77080","Champcenest",75.25852905
"77081","Champdeuil",43.15615897
"77082","Champeaux",20.71881617
"77083","Champs-sur-Marne",51.87538108
"77084","Changis-sur-Marne",37.52480703
"77085","Chanteloup-en-Brie",43.03841236
