"ID","NAMES","artisans_AsTheCowRolls_POT_5"
"75101","Paris 1er Arrondissement",20281.48647839
"75102","Paris 2e  Arrondissement",20776.53766903
"75103","Paris 3e  Arrondissement",23646.96530736
"75104","Paris 4e  Arrondissement",21322.47878825
"75105","Paris 5e  Arrondissement",19460.1652729
"75106","Paris 6e  Arrondissement",18959.15153381
"75107","Paris 7e  Arrondissement",16964.9932615
"75108","Paris 8e  Arrondissement",23250.77331431
"75109","Paris 9e  Arrondissement",25935.75329986
"75110","Paris 10e  Arrondissement",29431.43081028
"75111","Paris 11e  Arrondissement",21424.62888785
"75112","Paris 12e  Arrondissement",15407.01187482
"75113","Paris 13e  Arrondissement",17560.87079045
"75114","Paris 14e  Arrondissement",17127.47637678
"75115","Paris 15e  Arrondissement",15131.164416
"75116","Paris 16e  Arrondissement",13717.22746373
"75117","Paris 17e  Arrondissement",22616.20962448
"75118","Paris 18e  Arrondissement",20322.72256733
"75119","Paris 19e  Arrondissement",17700.41239774
"75120","Paris 20e  Arrondissement",18947.02548999
"77001","Acheres-la-Foret",82.05720172
"77002","Amillis",34.57938635
"77003","Amponville",61.78999928
"77004","Andrezel",77.46525997
"77005","Annet-sur-Marne",308.95432451
"77006","Arbonne-la-Foret",81.97255582
"77007","Argentieres",139.08227842
"77008","Armentieres-en-Brie",39.78456183
"77009","Arville",37.10266531
"77010","Aubepierre-Ozouer-le-Repos",114.37172122
"77011","Aufferville",52.38649712
"77012","Augers-en-Brie",44.80685896
"77013","Aulnoy",101.21975232
"77014","Avon",619.62956167
"77015","Baby",26.9620772
"77016","Bagneaux-sur-Loing",217.14558837
"77018","Bailly-Romainvilliers",496.46834119
"77019","Balloy",44.56165099
"77020","Bannost-Villegagnon",30.31537792
"77021","Barbey",70.37895664
"77022","Barbizon",173.42270559
"77023","Barcy",140.89391571
"77024","Bassevelle",28.3137551
"77025","Bazoches-les-Bray",63.65040684
"77026","Beauchery-Saint-Martin",20.09223764
"77027","Beaumont-du-Gatinais",47.23899455
"77028","Beautheil",71.93360239
"77029","Beauvoir",186.04354883
"77030","Bellot",56.85636848
"77031","Bernay-Vilbert",82.55465756
"77032","Beton-Bazoches",51.99508659
"77033","Bezalles",26.12326092
"77034","Blandy",93.70333349
"77035","Blennes",46.16113015
"77036","Boisdon",41.65156726
"77037","Bois-le-Roi",265.76660828
"77038","Boissettes",227.60269588
"77039","Boissise-la-Bertrand",226.28510757
"77040","Boissise-le-Roi",338.52996543
"77041","Boissy-aux-Cailles",15.22297668
"77042","Boissy-le-Chatel",171.59785982
"77043","Boitron",37.87190995
"77044","Bombon",36.11117337
"77045","Bougligny",71.4954886
"77046","Boulancourt",50.1294996
"77047","Bouleurs",181.10809288
"77048","Bourron-Marlotte",187.02176581
"77049","Boutigny",166.48106211
"77050","Bransles",69.50557716
"77051","Bray-sur-Seine",82.92950341
"77052","Breau",70.66502822
"77053","Brie-Comte-Robert",490.8598183
"77054","La Brosse-Montceaux",42.88338925
"77055","Brou-sur-Chantereine",1085.40300336
"77056","Burcy",32.25141694
"77057","Bussieres",43.53805648
"77058","Bussy-Saint-Georges",1286.87464163
"77059","Bussy-Saint-Martin",1375.66840389
"77060","Buthiers",66.12972827
"77061","Cannes-Ecluse",138.00954549
"77062","Carnetin",459.22365227
"77063","La Celle-sur-Morin",232.3478787
"77065","Cely",226.60470731
"77066","Cerneux",53.03420229
"77067","Cesson",642.93390903
"77068","Cessoy-en-Montois",59.77071434
"77069","Chailly-en-Biere",264.19277944
"77070","Chailly-en-Brie",276.97440526
"77071","Chaintreaux",82.18461621
"77072","Chalautre-la-Grande",31.00001266
"77073","Chalautre-la-Petite",67.71896377
"77075","Chalifert",517.56677763
"77076","Chalmaison",49.43774004
"77077","Chambry",250.6982829
"77078","Chamigny",163.52144425
"77079","Champagne-sur-Seine",297.95179809
"77080","Champcenest",14.44098563
"77081","Champdeuil",58.82662284
"77082","Champeaux",70.10064979
"77083","Champs-sur-Marne",2553.90480886
"77084","Changis-sur-Marne",99.92659165
"77085","Chanteloup-en-Brie",909.9979721
"77086","La Chapelle-Gauthier",94.92848089
"77087","La Chapelle-Iger",51.64414918
"77088","La Chapelle-la-Reine",102.44724909
"77089","La Chapelle-Rablais",40.03117803
"77090","La Chapelle-Saint-Sulpice",38.01427644
"77091","Les Chapelles-Bourbon",94.92666793
"77093","La Chapelle-Moutils",34.76249944
"77094","Charmentray",79.9855858
"77095","Charny",66.87194188
"77096","Chartrettes",240.13319196
"77097","Chartronges",27.82146671
"77098","Chateaubleau",47.35128501
"77099","Chateau-Landon",83.97530785
"77100","Le Chatelet-en-Brie",133.29504645
"77101","Chatenay-sur-Seine",32.09562157
"77102","Chatenoy",67.35040778
"77103","Chatillon-la-Borde",60.27848749
"77104","Chatres",113.39748049
"77106","Chauffry",96.24980634
"77107","Chaumes-en-Brie",235.63543646
"77108","Chelles",2161.92360703
"77109","Chenoise",41.04150567
"77110","Chenou",71.02680919
"77111","Chessy",707.089513
"77112","Chevrainvilliers",51.95917719
"77113","Chevru",78.8165065
"77114","Chevry-Cossigny",294.23258099
"77115","Chevry-en-Sereine",88.2926821
"77116","Choisy-en-Brie",95.63623484
"77117","Citry",94.22480765
"77118","Claye-Souilly",514.00064035
"77119","Clos-Fontaine",39.33091177
"77120","Cocherel",13.29295331
"77121","Collegien",1351.20878861
"77122","Combs-la-Ville",692.00617178
"77123","Compans",290.93004708
"77124","Conches-sur-Gondoire",1074.85065734
"77125","Conde-Sainte-Libiaire",503.08709188
"77126","Congis-sur-Therouanne",83.04996956
"77127","Coubert",294.36546691
"77128","Couilly-Pont-aux-Dames",712.81197542
"77129","Coulombs-en-Valois",13.30072332
"77130","Coulommes",129.12210563
"77131","Coulommiers",429.51303816
"77132","Coupvray",570.62589211
"77133","Courcelles-en-Bassee",39.31602781
"77134","Courchamp",17.97762293
"77135","Courpalay",102.4854065
"77136","Courquetaine",111.47640357
"77137","Courtacon",59.99840596
"77138","Courtomer",78.67640546
